,user,fullname,tweet-id,timestamp,likes,replies,retweets,text,airline,sentiment_polarity,sentiment,tokens,hand_label
425,Wis3y,Sean wyse,7.62013E+17,8/6/16 19:50,0,0,0,"no, we are now in the departure area so can't get back to her, they say now there aren't leg room seats available as she didn't",united,0.2,positive,"['departure', 'area', 'get', 'back', 'say', 'leg', 'room', 'seat', 'available']",negative
918,nelsonkm,Kimberli Nelson,8.14926E+17,12/30/16 20:07,0,1,0,"flight 2161 12/29 disrespected bm customer - fa called him as ""man"" and put hands on his hips ga told him to get off/on the plane",delta,0,neutral,"['flight', 'disrespected', 'bm', 'customer', 'fa', 'called', 'man', 'put', 'hand', 'hip', 'ga', 'told', 'get', 'plane']",negative
811,MTOY2014,Karen MacDonald,8.41392E+17,3/13/17 20:54,0,1,0,can u give me another place to turn. already called that number with no resolution.,american,0,neutral,"['u', 'give', 'another', 'place', 'turn', 'already', 'called', 'number', 'resolution']",negative
4377,TommyJohn_,Tommy John,5.23528E+17,10/18/14 17:34,0,0,0,who thought it would be a smart idea to have unassigned seats?? thanks for the awkward moment trying to a find seat...,southwest,-0.061904762,negative,"['thought', 'would', 'smart', 'idea', 'unassigned', 'seat', 'thanks', 'awkward', 'moment', 'trying', 'find', 'seat']",negative
1630,BoBoBobadilla,Ryan Bobadilla,6.02908E+17,5/25/15 18:43,0,1,0,"#alaskaairlines...really?!? missing equipment before takeoff then back to gate because some ""issue"".  we wanna go home!  waste of 2hrs!!!",alaska,-0.196875,negative,"['alaskaairlines', 'really', 'missing', 'equipment', 'takeoff', 'back', 'gate', 'issue', 'wan', 'na', 'go', 'home', 'waste', 'hr']",negative
3597,sancho_fubar,Serge Brill,7.61978E+17,8/6/16 17:31,1,1,0,#deltaairlines new plane has a hydronic leak.  that's four delays.  i want a refund!!!,delta,0.266335227,positive,"['deltaairlines', 'new', 'plane', 'hydronic', 'leak', 'four', 'delay', 'want', 'refund']",negative
0,rkdasaka,ravi dasaka,8.41431E+17,3/13/17 23:29,0,0,0,#mostwestcoast,alaska,0,neutral,['mostwestcoast'],neutral
1939,NewsAmericanAir,AA News,9.20789E+17,10/18/17 23:10,0,0,0,is helping sabre build for ndc - the company dime :,american,0,neutral,"['helping', 'sabre', 'build', 'ndc', 'company', 'dime']",neutral
3412,KamdenB81,Kamden Benedict,5.76747E+17,3/14/15 14:10,0,0,0,"is by far the worst airlines... and , they suck as well #getmehome",spirit,-0.45,negative,"['far', 'worst', 'airline', 'suck', 'well', 'getmehome']",negative
1249,Brownie844,Amy Brown,8.94217E+17,8/6/17 15:20,0,1,0,"when i asked ur agent friday to put me on another carrier, he said straight faced ""we won't spend revenue on you for that.""",united,0.2,positive,"['asked', 'ur', 'agent', 'friday', 'put', 'another', 'carrier', 'said', 'straight', 'faced', 'spend', 'revenue']",negative
2347,Nurse_Traveler,Jeremy Rittierodt,5.23903E+17,10/19/14 18:26,0,0,0,dm sent.  mileage number on screenshot.  thanks for looking into it.,alaska,0.2,positive,"['dm', 'sent', 'mileage', 'number', 'screenshot', 'thanks', 'looking']",positive
2088,samanthao226,samantha o,9.20729E+17,10/18/17 19:11,0,1,0,further down on website for basic economy it says 1 bag + personal item. am i going to be charged extra if i go by what it says online?,american,-0.031111111,negative,"['website', 'basic', 'economy', 'say', 'bag', 'personal', 'item', 'going', 'charged', 'extra', 'go', 'say', 'online']",neutral
355,ellie_hart_tho,ellie,7.62039E+17,8/6/16 21:33,1,1,0,3304,united,0,neutral,[],neutral
1027,NoodleShak,DisBeltalowda,8.14886E+17,12/30/16 17:28,0,1,0,shout out to katie currently managing gate 8 at pwm for being awesome and super helpful!,delta,0.472222222,positive,"['shout', 'katie', 'currently', 'managing', 'gate', 'pwm', 'awesome', 'super', 'helpful']",positive
5185,hazelmaybryan,hazel bryan,7.08535E+17,3/12/16 6:08,0,2,0,"sos 
my flight information that i was emailed after my flight was delayed is physically impossible!pic.twitter.com/nqimpybtrg",delta,0,neutral,"['so', 'flight', 'information', 'emailed', 'flight', 'delayed', 'physically', 'impossible', 'pic', 'twitter', 'com', 'nqimpybtrg']",negative
532,ali_woodman,ali-wood,8.41435E+17,3/13/17 23:45,0,0,0,round four.. departing 5:05 now.  this is laughable. #unitedairlines,united,-0.35,negative,"['round', 'four', 'departing', 'laughable', 'unitedairlines']",negative
4937,marikokoloco, 📝 Mar  ☕️,6.56258E+17,10/19/15 23:58,0,0,0,thank you! was grateful when we were able to land. #safetyfirst,southwest,0.5,positive,"['thank', 'grateful', 'able', 'land', 'safetyfirst']",positive
4653,deedoodahleedah,dee,7.88265E+17,10/18/16 6:27,0,0,0,pic.twitter.com/cbewrjlut9,southwest,0,neutral,"['pic', 'twitter', 'com', 'cbewrjlut']",neutral
1618,tweetSydneeOver,Sydnée Over,7.6202E+17,8/6/16 20:17,1,0,0,"if jetblue's planes combined with southwest's traveling amenities (free bags, pick your seat, etc) then i would probably never drive again.",jetblue,0.4,positive,"['jetblue', 'plane', 'combined', 'southwest', 'traveling', 'amenity', 'free', 'bag', 'pick', 'seat', 'etc', 'would', 'probably', 'never', 'drive']",positive
3272,ImMikey1224,Mikey Vazquez,6.82625E+17,12/31/15 18:12,0,0,0,can't wait to see what problems i'll occur when we gotta get on our next flight.as soon as we can finally get off the first/take off,united,0,neutral,"['wait', 'see', 'problem', 'occur', 'got', 'ta', 'get', 'next', 'flight', 'soon', 'finally', 'get', 'first', 'take']",negative
4694,bigmalx,`X',7.35504E+17,5/25/16 16:12,0,1,0,if i have a companion fare booked and i cancel my as credit card... is there going to be problems?,alaska,0,neutral,"['companion', 'fare', 'booked', 'cancel', 'credit', 'card', 'going', 'problem']",neutral
4993,DREADTOASTER,Mugabe Liberation Front  🇿🇼,7.09075E+17,3/13/16 17:54,0,0,0,"your movie selection on my flight was just salo, cannibal holocaust, and a serbian film?",delta,0,neutral,"['movie', 'selection', 'flight', 'salo', 'cannibal', 'holocaust', 'serbian', 'film']",negative
3414,MarcoGonzalez04,Marco Gonzalez,7.09153E+17,3/13/16 23:05,0,0,0,"i just did. i sent 3 confirmation #s for me, my wife, and child.",southwest,0,neutral,"['sent', 'confirmation', 'wife', 'child']",neutral
296,MommaMikarts,Kristin Mikarts,7.62063E+17,8/6/16 23:09,0,0,0,your customer service sucks. missed a connection because of a fuel leak at a departing gate. you have been no help.,united,-0.3,negative,"['customer', 'service', 'suck', 'missed', 'connection', 'fuel', 'leak', 'departing', 'gate', 'help']",negative
4691,treyw97,Trey Wright  👍,5.76826E+17,3/14/15 19:23,2,1,0,. thanks for the promo link!  although after reading the guidelines i'm unclear if it is worth the time.pic.twitter.com/j704grufw6,american,0.275,positive,"['thanks', 'promo', 'link', 'although', 'reading', 'guideline', 'unclear', 'worth', 'time', 'pic', 'twitter', 'com', 'jgrufw']",positive
3904,LoganOwl,Logan Owl,6.29802E+17,8/7/15 23:50,0,1,0,thanks 2 ur customer service my best buddy's wife found her ring. thank you! #thismeansgold i was a red carpet but now i'm all delta!,delta,0.4,positive,"['thanks', 'ur', 'customer', 'service', 'best', 'buddy', 'wife', 'found', 'ring', 'thank', 'thismeansgold', 'red', 'carpet', 'delta']",positive
4292,Wootenomics,Jadrian Wooten,4.42993E+17,3/10/14 12:00,0,1,0,has french today for breakfast in this flight? #heckyea #omnomnom,alaska,0,neutral,"['french', 'today', 'breakfast', 'flight', 'heckyea', 'omnomnom']",positive
801,HausOfIggz,Vin,7.09157E+17,3/13/16 23:18,0,1,0,i am outraged. i paid good money to have a private jet and have people putting graffiti all over it. you should be ashamed.,jetblue,-0.066666667,negative,"['outraged', 'paid', 'good', 'money', 'private', 'jet', 'people', 'putting', 'graffiti', 'ashamed']",negative
2430,Rachiek722,Rachel Klein,6.82711E+17,12/31/15 23:52,0,2,0,in turks and caicos for a week and still no luggage. have no clothes or swimsuits and worried about valubles. very dissapointed,american,0.2,positive,"['turk', 'caicos', 'week', 'still', 'luggage', 'clothes', 'swimsuit', 'worried', 'valubles', 'dissapointed']",negative
592,Jeumd,Joaquin Ezcurra,8.4141E+17,3/13/17 22:05,0,0,0,", on hold for 90 minutes before someone picked up and was disconnected immediately.  trying to help gparents change flight. help!",united,0,neutral,"['hold', 'minute', 'someone', 'picked', 'disconnected', 'immediately', 'trying', 'help', 'gparents', 'change', 'flight', 'help']",negative
1302,Thejimpem,Jim Pemberton,9.47598E+17,12/31/17 22:38,0,1,0,"3462 now to psc, and that has delays now too. the last minute notices make for a tough day for an older mother",alaska,-0.074074074,negative,"['psc', 'delay', 'last', 'minute', 'notice', 'make', 'tough', 'day', 'older', 'mother']",negative
4011,ShauntriceLove,Shauntrice Martin,7.62067E+17,8/6/16 23:24,2,0,1,"and it gets worse!  has been consistently horrible for years.
#americanairlinesfail #americanairlines pic.twitter.com/t1fbwd4wpd",american,-0.75,negative,"['get', 'worse', 'consistently', 'horrible', 'year', 'americanairlinesfail', 'americanairlines', 'pic', 'twitter', 'com', 'tfbwdwpd']",negative
2761,beef5669,Beef Hefner,5.50316E+17,12/31/14 15:44,0,0,0,thanks!,southwest,0.25,positive,['thanks'],positive
398,SpiritAirlines,Spirit Airlines,8.1456E+17,12/29/16 19:55,1,0,0,"we’re sorry you feel that way, rob. please dm us more info so we can take a closer look into your concerns.",spirit,0,neutral,"['’', 'sorry', 'feel', 'way', 'rob', 'please', 'dm', 'u', 'info', 'take', 'closer', 'look', 'concern']",neutral
4331,sbs019,Blake Stephenson,4.97505E+17,8/7/14 22:08,0,1,0,"#americanairlines is the worst airline, flight to dallas was delayed so they took it upon them selves to rebook us for a flight tomorrow!",american,-1,negative,"['americanairlines', 'worst', 'airline', 'flight', 'dallas', 'delayed', 'took', 'upon', 'self', 'rebook', 'u', 'flight', 'tomorrow']",negative
2544,cdaniellecole,Conner Danielle Cole,9.4749E+17,12/31/17 15:30,0,1,0,had everyone turn on their overhead lights and close their windows to wish a passenger happy birthday.  just another reason i love southwest!pic.twitter.com/spqesecp2q,southwest,0.65,positive,"['everyone', 'turn', 'overhead', 'light', 'close', 'window', 'wish', 'passenger', 'happy', 'birthday', 'another', 'reason', 'love', 'southwest', 'pic', 'twitter', 'com', 'spqesecpq']",positive
1177,Tapangco,Joe Tapangco,6.55673E+17,10/18/15 9:12,0,1,0,full flight... i don't know how  does it... #alaskaairlines #fullflight #travelstrugglespic.twitter.com/u3uron4mmg,alaska,0.35,positive,"['full', 'flight', 'know', 'alaskaairlines', 'fullflight', 'travelstrugglespic', 'twitter', 'com', 'uuronmmg']",positive
4256,ISUSOC_SMACC,SMACC,5.23876E+17,10/19/14 16:40,3,0,1,we dig the new social care team! check out how the  is using the smacc to advance communication.,southwest,0.089015152,positive,"['dig', 'new', 'social', 'care', 'team', 'check', 'using', 'smacc', 'advance', 'communication']",positive
1361,Moobezoor,Moobezoor,7.88505E+17,10/18/16 22:22,0,0,0,she is the one that took the bag and moved it,delta,0,neutral,"['one', 'took', 'bag', 'moved']",neutral
1854,Grrimace,Grrimace,6.03328E+17,5/26/15 22:34,0,0,0,… #wewillneverforget #wtc  sorry 4d criticism over d airplane hack but this hits close 2home for me #solution4u,united,-0.5,negative,"['…', 'wewillneverforget', 'wtc', 'sorry', 'criticism', 'airplane', 'hack', 'hit', 'close', 'home', 'solutionu']",negative
3435,MikeFraietta,Mike Fraietta  🌎,6.56234E+17,10/19/15 22:24,0,0,0,please help. i left my headphones on flight ua5101 from austin to houston bush. seat 16a. on floor. connecting to lga now.2155969009,united,0,neutral,"['please', 'help', 'left', 'headphone', 'flight', 'ua', 'austin', 'houston', 'bush', 'seat', 'floor', 'connecting', 'lga']",neutral
4586,LNMC22,Ellen Canfield,7.88401E+17,10/18/16 15:25,0,1,0,could you please send me more kicktails too? #iloveswa,southwest,0.5,positive,"['could', 'please', 'send', 'kicktails', 'iloveswa']",positive
239,716Sully,Patrick Sullivan,8.41334E+17,3/13/17 17:04,0,1,0,i'm not waiting 3 hours again to speak to an incompetent rep rebooked w delta. pls dm me to set up refuns what happened to sw?,southwest,-0.35,negative,"['waiting', 'hour', 'speak', 'incompetent', 'rep', 'rebooked', 'w', 'delta', 'pls', 'dm', 'set', 'refuns', 'happened', 'sw']",negative
2084,nicolasjensen,N Jey Jey,9.2073E+17,10/18/17 19:13,0,1,0,i sent you a dm i just wondering where is my luggage,american,0,neutral,"['sent', 'dm', 'wondering', 'luggage']",negative
4413,EKins16,Eric,5.5002E+17,12/30/14 20:05,0,0,0,delta airlines is delayed again. next time i'm picking #southwest #delta #deltaairlines,delta,0,neutral,"['delta', 'airline', 'delayed', 'next', 'time', 'picking', 'southwest', 'delta', 'deltaairlines']",negative
2325,its_McKenzie,McKenzie McMillan,5.23968E+17,10/19/14 22:44,0,0,0,boarding my #alaskaairlines flight back to vancouver #horizonair #seatac #usair in the background #avgeek,alaska,0,neutral,"['boarding', 'alaskaairlines', 'flight', 'back', 'vancouver', 'horizonair', 'seatac', 'usair', 'background', 'avgeek']",neutral
3212,klewis1973,Kristen Lewis,4.97444E+17,8/7/14 18:06,0,0,0,really? almost an hour to get our bags? still waiting  baggage claim!,southwest,0.25,positive,"['really', 'almost', 'hour', 'get', 'bag', 'still', 'waiting', 'baggage', 'claim']",negative
1039,ashleybmay,Ashley May,8.14884E+17,12/30/16 17:20,0,1,0,got it right this time!! thanks. he was tired after a long morning of travel.  my sister is with him now :),delta,0.139285714,positive,"['got', 'right', 'time', 'thanks', 'tired', 'long', 'morning', 'travel', 'sister']",positive
2421,November_Son17,Sonny Martinez,6.82712E+17,12/31/15 23:58,0,0,0,thanks! but apparently your fuel truck operators at o'hare don't feel the same...and it sucks ass.,american,0,neutral,"['thanks', 'apparently', 'fuel', 'truck', 'operator', 'hare', 'feel', 'suck', 'as']",positive
3798,Nadya_McGregor,Nadya,6.56231E+17,10/19/15 22:12,0,0,0,shame on !  #americanairlines #aasucks #worstairline #buyerbeware #unamerican,american,0,neutral,"['shame', 'americanairlines', 'aasucks', 'worstairline', 'buyerbeware', 'unamerican']",negative
1229,orthoromi,Romi Diaz,7.88482E+17,10/18/16 20:50,0,0,0,"tells me 24hrs ahead that i'm upgraded and they play stupid. #isconfirmedconfirmed?
#executiveplatinum #aaideservebetterservice",american,-0.8,negative,"['tell', 'hr', 'ahead', 'upgraded', 'play', 'stupid', 'isconfirmedconfirmed', 'executiveplatinum', 'aaideservebetterservice']",negative
3726,MSMCole,Matthew Cole,6.82307E+17,12/30/15 21:08,0,0,0,and  fares out of denver are insanely low...…,spirit,-1,negative,"['fare', 'denver', 'insanely', 'low', '…']",positive
1979,rynd0c,Ryan,6.03271E+17,5/26/15 18:48,0,2,0,"i was able to for wed., but i can't get customer relations on the phone for a hotel by msy. very costly cancellation, not good",southwest,0.116666667,positive,"['able', 'wed', 'get', 'customer', 'relation', 'phone', 'hotel', 'msy', 'costly', 'cancellation', 'good']",negative
3291,BirthedOnTracks,j.dub,8.94325E+17,8/6/17 22:30,0,1,0,"flights changed with no notice and led to our 1st flight being nearly 2 hrs later, tranger flight was delayed due to crew...wow",american,-0.008333333,negative,"['flight', 'changed', 'notice', 'led', 'st', 'flight', 'nearly', 'hr', 'later', 'tranger', 'flight', 'delayed', 'due', 'crew', 'wow']",negative
4038,Jayt0626,Jay,4.69638E+17,5/23/14 0:35,0,1,0,"""it's a holiday weekend"" yes capt obvious. delay after delay on the way to sea. woulda made it 2 gate if you skipped the lecture",alaska,0,neutral,"['holiday', 'weekend', 'yes', 'capt', 'obvious', 'delay', 'delay', 'way', 'sea', 'woulda', 'made', 'gate', 'skipped', 'lecture']",negative
353,FranczakMikaela,MIK,8.67891E+17,5/25/17 23:50,11,0,0,hey  if you could figure your crap out that would be great! i'm trying to get to iceland here!,american,0.1,positive,"['hey', 'could', 'figure', 'crap', 'would', 'great', 'trying', 'get', 'iceland']",negative
2961,SpiritAirlines,Spirit Airlines,9.47528E+17,12/31/17 17:59,0,8,0,how can we help? please dm us more details. …,spirit,0.5,positive,"['help', 'please', 'dm', 'u', 'detail', '…']",positive
1012,lmbartelt,Lisa Bartelt,8.1483E+17,12/30/16 13:45,0,0,0,we still love you!,southwest,0.625,positive,"['still', 'love']",positive
912,icemom289,Phyllis Gill,5.2396E+17,10/19/14 22:12,0,1,0,we r boarding thanks,american,0.2,positive,"['r', 'boarding', 'thanks']",positive
2132,zdcheng,D,8.67765E+17,5/25/17 15:30,0,1,0,excellent service by sheila at sjc today helping me out this morning! really appreciate her help!,alaska,0.625,positive,"['excellent', 'service', 'sheila', 'sjc', 'today', 'helping', 'morning', 'really', 'appreciate', 'help']",positive
2443,_airlines_,Airlines News,7.09125E+17,3/13/16 21:12,1,0,0,activist investors question #unitedairlines ( $ual) ceo's board. read more: …,united,0.5,positive,"['activist', 'investor', 'question', 'unitedairlines', 'ual', 'ceo', 'board', 'read', '…']",neutral
4497,ltlmscantbwrong,Kathy,4.97452E+17,8/7/14 18:38,0,1,0,again with a random tweet? #dontgetit,american,-0.5,negative,"['random', 'tweet', 'dontgetit']",neutral
4797,timshutes,Tim Shutes,4.97372E+17,8/7/14 13:20,0,0,0,4 whole inches??!!,delta,0.3125,positive,"['whole', 'inch']",neutral
445,AwsmSpaceMonkey,Peter Weady,8.93905E+17,8/5/17 18:40,0,0,0,mileage plan is taking me to switzerland next year!,alaska,0,neutral,"['mileage', 'plan', 'taking', 'switzerland', 'next', 'year']",positive
3958,andredaughty,Andre Daughty,8.94326E+17,8/6/17 22:35,0,0,0,absolutely! i can finally rest without my knees feeling the piercing metal when the seat pushes back!pic.twitter.com/4d4xfedcas,southwest,0.125,positive,"['absolutely', 'finally', 'rest', 'without', 'knee', 'feeling', 'piercing', 'metal', 'seat', 'push', 'back', 'pic', 'twitter', 'com', 'dxfedcas']",positive
4386,daniofthesun,Daniell Del Sol,4.97486E+17,8/7/14 20:53,0,1,0,it is gidcrj,american,0,neutral,['gidcrj'],neutral
1420,evelDK,Dustin Knievel,4.44553E+17,3/14/14 19:16,0,0,0,interesting move,jetblue,0.5,positive,"['interesting', 'move']",positive
917,thealphastate,tj berry,4.43857E+17,3/12/14 21:11,0,0,0,one more reason that  will keep on killing it every quarter. $save …,spirit,0.5,positive,"['one', 'reason', 'keep', 'killing', 'every', 'quarter', 'save', '…']",positive
4570,witmojo,COVFEFE,6.82088E+17,12/30/15 6:38,0,0,0,ok i am back. never going to believe what i saw- planes and pilots. wtf?,alaska,0,neutral,"['ok', 'back', 'never', 'going', 'believe', 'saw', 'plane', 'pilot', 'wtf']",neutral
3849,Plasticsdude,Dale Bartholomew,6.56222E+17,10/19/15 21:33,0,1,0,made it all the from e to b terminal in record time may have run over a few toes along the way. awesome u backd me up,american,0.4,positive,"['made', 'e', 'b', 'terminal', 'record', 'time', 'may', 'run', 'toe', 'along', 'way', 'awesome', 'u', 'backd']",positive
5097,DSquishyKitty,Katelyn Faith,7.0876E+17,3/12/16 21:00,0,0,0,love flying just hate the landing part  #tucson #arizona #deltaairlines,delta,-0.15,negative,"['love', 'flying', 'hate', 'landing', 'part', 'tucson', 'arizona', 'deltaairlines']",negative
2402,JarettHawkins,Jarett Hawkins,8.41425E+17,3/13/17 23:05,0,0,0,"mechanical problems at ewr, supposed to be in ams by 7am tomorrow.#disappointed#wontfly#notonewark",delta,0,neutral,"['mechanical', 'problem', 'ewr', 'supposed', 'am', 'tomorrow', 'disappointed', 'wontfly', 'notonewark']",negative
1488,allison_elyse,Allison Schultz,5.76555E+17,3/14/15 1:26,0,1,0,i just want to make sure my flight was really going to leave at 10:30 i've heard that it could change back to the originaltime,southwest,0.233333333,positive,"['want', 'make', 'sure', 'flight', 'really', 'going', 'leave', 'heard', 'could', 'change', 'back', 'originaltime']",neutral
1000,anteloperunning,Twisted Sister,8.14296E+17,12/29/16 2:24,0,0,0,the weather did not impact this flight. this plane is too small for the fuel required and we had to stop in co.,alaska,-0.25,negative,"['weather', 'impact', 'flight', 'plane', 'small', 'fuel', 'required', 'stop', 'co']",neutral
3021,nyandout,Stephen Bard,7.61947E+17,8/6/16 15:28,0,1,0,needed to say i am glad i use southwest an airline that tries to make things right,southwest,0.228571429,positive,"['needed', 'say', 'glad', 'use', 'southwest', 'airline', 'try', 'make', 'thing', 'right']",positive
1175,wfbowers,Wiatt Bowers,7.88501E+17,10/18/16 22:04,0,1,0,fails again. another overseas flight w/ no screens or power outlets at seats. yet domestic flights do #shameful #757 #epicfail,american,-0.25,negative,"['fails', 'another', 'overseas', 'flight', 'w', 'screen', 'power', 'outlet', 'seat', 'yet', 'domestic', 'flight', 'shameful', 'epicfail']",negative
3878,zacharyhood85,Zac Hood,4.44228E+17,3/13/14 21:47,0,0,0,ordering jack and cokes on #southwestairlines means good times are ahead.,southwest,0.7,positive,"['ordering', 'jack', 'coke', 'southwestairlines', 'mean', 'good', 'time', 'ahead']",positive
4503,ivanburazin,Ivan Burazin,5.76894E+17,3/14/15 23:55,0,1,0,congrats to the cm team seriously. but 3rd time i have flown aa 3rd time canceled or gut stuck somewhere…all at my expense,american,-0.111111111,negative,"['congrats', 'cm', 'team', 'seriously', 'rd', 'time', 'flown', 'aa', 'rd', 'time', 'canceled', 'gut', 'stuck', 'somewhere…all', 'expense']",negative
1008,vicoherurbi,Vico Herurbi,8.14836E+17,12/30/16 14:08,0,1,0,hey guys what's up? haven't received any updates regarding my lost item. have you just stopped searching?,southwest,0,neutral,"['hey', 'guy', 'received', 'update', 'regarding', 'lost', 'item', 'stopped', 'searching']",negative
3822,Cubscyclone,Me,4.4444E+17,3/14/14 11:48,0,0,0,thanks for ruining my weekend with my family in den!  nothing like closing the doors when you see me running to the gate! #mdw,southwest,0.3125,positive,"['thanks', 'ruining', 'weekend', 'family', 'den', 'nothing', 'like', 'closing', 'door', 'see', 'running', 'gate', 'mdw']",negative
741,ACBZ68,Adrian B-Z,6.82596E+17,12/31/15 16:14,0,1,0,it would ne nice if they could simply enter whether they found 30+ bags on tarmac in chs or jfk.  that many bags are hard to miss,jetblue,0.202083333,positive,"['would', 'ne', 'nice', 'could', 'simply', 'enter', 'whether', 'found', 'bag', 'tarmac', 'chs', 'jfk', 'many', 'bag', 'hard', 'miss']",negative
4040,bennyr11,Benny Ricciardi,6.29366E+17,8/6/15 18:57,2,2,0,you can pack a bookbag with a laptop and enough clothes for two days in vegas. you are not a chick. #doable,spirit,0,neutral,"['pack', 'bookbag', 'laptop', 'enough', 'clothes', 'two', 'day', 'vega', 'chick', 'doable']",neutral
920,fisher1276,Andy Fisher,4.43844E+17,3/12/14 20:19,0,0,0,is horrific. trapped our family of 4 in orlando after cancelled flight. next avail is in a week,spirit,-0.4,negative,"['horrific', 'trapped', 'family', 'orlando', 'cancelled', 'flight', 'next', 'avail', 'week']",negative
1009,roburs,Robert Ursiny,5.23853E+17,10/19/14 15:08,0,1,0,"if 2014 #united gold member doesn't fly at all in 2014, then in 2015 will they be silver or will they lose status completely?",united,0.45,positive,"['united', 'gold', 'member', 'fly', 'silver', 'lose', 'status', 'completely']",neutral
13,NewsByScott,Scott Davis,8.94345E+17,8/6/17 23:48,0,0,0,pilot just told us we have a 30 min tarmac groundstop here in rdu b/c of wx in atl. forecast shows rain all nite there. #notlookingood,delta,0,neutral,"['pilot', 'told', 'u', 'min', 'tarmac', 'groundstop', 'rdu', 'b', 'c', 'wx', 'atl', 'forecast', 'show', 'rain', 'nite', 'notlookingood']",negative
807,TokenPrav,Pravin Ranasinghe,8.14977E+17,12/30/16 23:29,0,1,0,can you get me back the vacation day that i burned to sit in this airport for 7+ hours,delta,0,neutral,"['get', 'back', 'vacation', 'day', 'burned', 'sit', 'airport', 'hour']",negative
2454,J2weel,Jamie,8.94239E+17,8/6/17 16:50,0,0,1,pic.twitter.com/kt1lludy3f,spirit,0,neutral,"['pic', 'twitter', 'com', 'ktlludyf']",neutral
264,chris_win_13,Chris N,8.67892E+17,5/25/17 23:55,1,1,0,how can i get a free drink for being on the plane for almost an hour and not in the air,southwest,0.4,positive,"['get', 'free', 'drink', 'plane', 'almost', 'hour', 'air']",negative
